combinacion;num1;num2
01;0;1
10;1;0
02;0;2
20;2;0
03;0;3
30;3;0
04;0;4
40;4;0
05;0;5
50;5;0
06;0;6
60;6;0
07;0;7
70;7;0
08;0;8
80;8;0
09;0;9
90;9;0
12;1;2
21;2;1
13;1;3
31;3;1
14;1;4
41;4;1
15;1;5
51;5;1
16;1;6
61;6;1
17;1;7
71;7;1
18;1;8
81;8;1
19;1;9
91;9;1
23;2;3
32;3;2
24;2;4
42;4;2
25;2;5
52;5;2
26;2;6
62;6;2
27;2;7
72;7;2
28;2;8
82;8;2
29;2;9
92;9;2
34;3;4
43;4;3
35;3;5
53;5;3
36;3;6
63;6;3
37;3;7
73;7;3
38;3;8
83;8;3
39;3;9
93;9;3
45;4;5
54;5;4
46;4;6
64;6;4
47;4;7
74;7;4
48;4;8
84;8;4
49;4;9
94;9;4
56;5;6
65;6;5
57;5;7
75;7;5
58;5;8
85;8;5
59;5;9
95;9;5
67;6;7
76;7;6
68;6;8
86;8;6
69;6;9
96;9;6
78;7;8
87;8;7
79;7;9
97;9;7
89;8;9
98;9;8
