combinacion;num1;num2;num3
012;0;1;2
021;0;2;1
102;1;0;2
120;1;2;0
201;2;0;1
210;2;1;0
013;0;1;3
031;0;3;1
103;1;0;3
130;1;3;0
301;3;0;1
310;3;1;0
014;0;1;4
041;0;4;1
104;1;0;4
140;1;4;0
401;4;0;1
410;4;1;0
015;0;1;5
051;0;5;1
105;1;0;5
150;1;5;0
501;5;0;1
510;5;1;0
016;0;1;6
061;0;6;1
106;1;0;6
160;1;6;0
601;6;0;1
610;6;1;0
017;0;1;7
071;0;7;1
107;1;0;7
170;1;7;0
701;7;0;1
710;7;1;0
018;0;1;8
081;0;8;1
108;1;0;8
180;1;8;0
801;8;0;1
810;8;1;0
019;0;1;9
091;0;9;1
109;1;0;9
190;1;9;0
901;9;0;1
910;9;1;0
023;0;2;3
032;0;3;2
203;2;0;3
230;2;3;0
302;3;0;2
320;3;2;0
024;0;2;4
042;0;4;2
204;2;0;4
240;2;4;0
402;4;0;2
420;4;2;0
025;0;2;5
052;0;5;2
205;2;0;5
250;2;5;0
502;5;0;2
520;5;2;0
026;0;2;6
062;0;6;2
206;2;0;6
260;2;6;0
602;6;0;2
620;6;2;0
027;0;2;7
072;0;7;2
207;2;0;7
270;2;7;0
702;7;0;2
720;7;2;0
028;0;2;8
082;0;8;2
208;2;0;8
280;2;8;0
802;8;0;2
820;8;2;0
029;0;2;9
092;0;9;2
209;2;0;9
290;2;9;0
902;9;0;2
920;9;2;0
034;0;3;4
043;0;4;3
304;3;0;4
340;3;4;0
403;4;0;3
430;4;3;0
035;0;3;5
053;0;5;3
305;3;0;5
350;3;5;0
503;5;0;3
530;5;3;0
036;0;3;6
063;0;6;3
306;3;0;6
360;3;6;0
603;6;0;3
630;6;3;0
037;0;3;7
073;0;7;3
307;3;0;7
370;3;7;0
703;7;0;3
730;7;3;0
038;0;3;8
083;0;8;3
308;3;0;8
380;3;8;0
803;8;0;3
830;8;3;0
039;0;3;9
093;0;9;3
309;3;0;9
390;3;9;0
903;9;0;3
930;9;3;0
045;0;4;5
054;0;5;4
405;4;0;5
450;4;5;0
504;5;0;4
540;5;4;0
046;0;4;6
064;0;6;4
406;4;0;6
460;4;6;0
604;6;0;4
640;6;4;0
047;0;4;7
074;0;7;4
407;4;0;7
470;4;7;0
704;7;0;4
740;7;4;0
048;0;4;8
084;0;8;4
408;4;0;8
480;4;8;0
804;8;0;4
840;8;4;0
049;0;4;9
094;0;9;4
409;4;0;9
490;4;9;0
904;9;0;4
940;9;4;0
056;0;5;6
065;0;6;5
506;5;0;6
560;5;6;0
605;6;0;5
650;6;5;0
057;0;5;7
075;0;7;5
507;5;0;7
570;5;7;0
705;7;0;5
750;7;5;0
058;0;5;8
085;0;8;5
508;5;0;8
580;5;8;0
805;8;0;5
850;8;5;0
059;0;5;9
095;0;9;5
509;5;0;9
590;5;9;0
905;9;0;5
950;9;5;0
067;0;6;7
076;0;7;6
607;6;0;7
670;6;7;0
706;7;0;6
760;7;6;0
068;0;6;8
086;0;8;6
608;6;0;8
680;6;8;0
806;8;0;6
860;8;6;0
069;0;6;9
096;0;9;6
609;6;0;9
690;6;9;0
906;9;0;6
960;9;6;0
078;0;7;8
087;0;8;7
708;7;0;8
780;7;8;0
807;8;0;7
870;8;7;0
079;0;7;9
097;0;9;7
709;7;0;9
790;7;9;0
907;9;0;7
970;9;7;0
089;0;8;9
098;0;9;8
809;8;0;9
890;8;9;0
908;9;0;8
980;9;8;0
123;1;2;3
132;1;3;2
213;2;1;3
231;2;3;1
312;3;1;2
321;3;2;1
124;1;2;4
142;1;4;2
214;2;1;4
241;2;4;1
412;4;1;2
421;4;2;1
125;1;2;5
152;1;5;2
215;2;1;5
251;2;5;1
512;5;1;2
521;5;2;1
126;1;2;6
162;1;6;2
216;2;1;6
261;2;6;1
612;6;1;2
621;6;2;1
127;1;2;7
172;1;7;2
217;2;1;7
271;2;7;1
712;7;1;2
721;7;2;1
128;1;2;8
182;1;8;2
218;2;1;8
281;2;8;1
812;8;1;2
821;8;2;1
129;1;2;9
192;1;9;2
219;2;1;9
291;2;9;1
912;9;1;2
921;9;2;1
134;1;3;4
143;1;4;3
314;3;1;4
341;3;4;1
413;4;1;3
431;4;3;1
135;1;3;5
153;1;5;3
315;3;1;5
351;3;5;1
513;5;1;3
531;5;3;1
136;1;3;6
163;1;6;3
316;3;1;6
361;3;6;1
613;6;1;3
631;6;3;1
137;1;3;7
173;1;7;3
317;3;1;7
371;3;7;1
713;7;1;3
731;7;3;1
138;1;3;8
183;1;8;3
318;3;1;8
381;3;8;1
813;8;1;3
831;8;3;1
139;1;3;9
193;1;9;3
319;3;1;9
391;3;9;1
913;9;1;3
931;9;3;1
145;1;4;5
154;1;5;4
415;4;1;5
451;4;5;1
514;5;1;4
541;5;4;1
146;1;4;6
164;1;6;4
416;4;1;6
461;4;6;1
614;6;1;4
641;6;4;1
147;1;4;7
174;1;7;4
417;4;1;7
471;4;7;1
714;7;1;4
741;7;4;1
148;1;4;8
184;1;8;4
418;4;1;8
481;4;8;1
814;8;1;4
841;8;4;1
149;1;4;9
194;1;9;4
419;4;1;9
491;4;9;1
914;9;1;4
941;9;4;1
156;1;5;6
165;1;6;5
516;5;1;6
561;5;6;1
615;6;1;5
651;6;5;1
157;1;5;7
175;1;7;5
517;5;1;7
571;5;7;1
715;7;1;5
751;7;5;1
158;1;5;8
185;1;8;5
518;5;1;8
581;5;8;1
815;8;1;5
851;8;5;1
159;1;5;9
195;1;9;5
519;5;1;9
591;5;9;1
915;9;1;5
951;9;5;1
167;1;6;7
176;1;7;6
617;6;1;7
671;6;7;1
716;7;1;6
