combinacion;num1;num2;num3;num4
0123;0;1;2;3
0132;0;1;3;2
0213;0;2;1;3
0231;0;2;3;1
0312;0;3;1;2
0321;0;3;2;1
1023;1;0;2;3
1032;1;0;3;2
1203;1;2;0;3
1230;1;2;3;0
1302;1;3;0;2
1320;1;3;2;0
2013;2;0;1;3
2031;2;0;3;1
2103;2;1;0;3
2130;2;1;3;0
2301;2;3;0;1
2310;2;3;1;0
3012;3;0;1;2
3021;3;0;2;1
3102;3;1;0;2
3120;3;1;2;0
3201;3;2;0;1
3210;3;2;1;0
0124;0;1;2;4
0142;0;1;4;2
0214;0;2;1;4
0241;0;2;4;1
0412;0;4;1;2
0421;0;4;2;1
1024;1;0;2;4
1042;1;0;4;2
1204;1;2;0;4
1240;1;2;4;0
1402;1;4;0;2
1420;1;4;2;0
2014;2;0;1;4
2041;2;0;4;1
2104;2;1;0;4
2140;2;1;4;0
2401;2;4;0;1
2410;2;4;1;0
4012;4;0;1;2
4021;4;0;2;1
4102;4;1;0;2
4120;4;1;2;0
4201;4;2;0;1
4210;4;2;1;0
0125;0;1;2;5
0152;0;1;5;2
0215;0;2;1;5
0251;0;2;5;1
0512;0;5;1;2
0521;0;5;2;1
1025;1;0;2;5
1052;1;0;5;2
1205;1;2;0;5
1250;1;2;5;0
1502;1;5;0;2
1520;1;5;2;0
2015;2;0;1;5
2051;2;0;5;1
2105;2;1;0;5
2150;2;1;5;0
2501;2;5;0;1
2510;2;5;1;0
5012;5;0;1;2
5021;5;0;2;1
5102;5;1;0;2
5120;5;1;2;0
5201;5;2;0;1
5210;5;2;1;0
0126;0;1;2;6
0162;0;1;6;2
0216;0;2;1;6
0261;0;2;6;1
0612;0;6;1;2
0621;0;6;2;1
1026;1;0;2;6
1062;1;0;6;2
1206;1;2;0;6
1260;1;2;6;0
1602;1;6;0;2
1620;1;6;2;0
2016;2;0;1;6
2061;2;0;6;1
2106;2;1;0;6
2160;2;1;6;0
2601;2;6;0;1
2610;2;6;1;0
6012;6;0;1;2
6021;6;0;2;1
6102;6;1;0;2
6120;6;1;2;0
6201;6;2;0;1
6210;6;2;1;0
0127;0;1;2;7
0172;0;1;7;2
0217;0;2;1;7
0271;0;2;7;1
0712;0;7;1;2
0721;0;7;2;1
1027;1;0;2;7
1072;1;0;7;2
1207;1;2;0;7
1270;1;2;7;0
1702;1;7;0;2
1720;1;7;2;0
2017;2;0;1;7
2071;2;0;7;1
2107;2;1;0;7
2170;2;1;7;0
2701;2;7;0;1
2710;2;7;1;0
7012;7;0;1;2
7021;7;0;2;1
7102;7;1;0;2
7120;7;1;2;0
7201;7;2;0;1
7210;7;2;1;0
0128;0;1;2;8
0182;0;1;8;2
0218;0;2;1;8
0281;0;2;8;1
0812;0;8;1;2
0821;0;8;2;1
1028;1;0;2;8
1082;1;0;8;2
1208;1;2;0;8
1280;1;2;8;0
1802;1;8;0;2
1820;1;8;2;0
2018;2;0;1;8
2081;2;0;8;1
2108;2;1;0;8
2180;2;1;8;0
2801;2;8;0;1
2810;2;8;1;0
8012;8;0;1;2
8021;8;0;2;1
8102;8;1;0;2
8120;8;1;2;0
8201;8;2;0;1
8210;8;2;1;0
0129;0;1;2;9
0192;0;1;9;2
0219;0;2;1;9
0291;0;2;9;1
0912;0;9;1;2
0921;0;9;2;1
1029;1;0;2;9
1092;1;0;9;2
1209;1;2;0;9
1290;1;2;9;0
1902;1;9;0;2
1920;1;9;2;0
2019;2;0;1;9
2091;2;0;9;1
2109;2;1;0;9
2190;2;1;9;0
2901;2;9;0;1
2910;2;9;1;0
9012;9;0;1;2
9021;9;0;2;1
9102;9;1;0;2
9120;9;1;2;0
9201;9;2;0;1
9210;9;2;1;0
0134;0;1;3;4
0143;0;1;4;3
0314;0;3;1;4
0341;0;3;4;1
0413;0;4;1;3
0431;0;4;3;1
1034;1;0;3;4
1043;1;0;4;3
1304;1;3;0;4
1340;1;3;4;0
1403;1;4;0;3
1430;1;4;3;0
3014;3;0;1;4
3041;3;0;4;1
3104;3;1;0;4
3140;3;1;4;0
3401;3;4;0;1
3410;3;4;1;0
4013;4;0;1;3
4031;4;0;3;1
4103;4;1;0;3
4130;4;1;3;0
4301;4;3;0;1
4310;4;3;1;0
0135;0;1;3;5
0153;0;1;5;3
0315;0;3;1;5
0351;0;3;5;1
0513;0;5;1;3
0531;0;5;3;1
1035;1;0;3;5
1053;1;0;5;3
1305;1;3;0;5
1350;1;3;5;0
1503;1;5;0;3
1530;1;5;3;0
3015;3;0;1;5
3051;3;0;5;1
3105;3;1;0;5
3150;3;1;5;0
3501;3;5;0;1
3510;3;5;1;0
5013;5;0;1;3
5031;5;0;3;1
5103;5;1;0;3
5130;5;1;3;0
5301;5;3;0;1
5310;5;3;1;0
0136;0;1;3;6
0163;0;1;6;3
0316;0;3;1;6
0361;0;3;6;1
0613;0;6;1;3
0631;0;6;3;1
1036;1;0;3;6
1063;1;0;6;3
1306;1;3;0;6
1360;1;3;6;0
1603;1;6;0;3
1630;1;6;3;0
3016;3;0;1;6
3061;3;0;6;1
3106;3;1;0;6
3160;3;1;6;0
3601;3;6;0;1
3610;3;6;1;0
6013;6;0;1;3
6031;6;0;3;1
6103;6;1;0;3
6130;6;1;3;0
6301;6;3;0;1
6310;6;3;1;0
0137;0;1;3;7
0173;0;1;7;3
0317;0;3;1;7
0371;0;3;7;1
0713;0;7;1;3
0731;0;7;3;1
1037;1;0;3;7
1073;1;0;7;3
1307;1;3;0;7
1370;1;3;7;0
1703;1;7;0;3
1730;1;7;3;0
3017;3;0;1;7
3071;3;0;7;1
3107;3;1;0;7
3170;3;1;7;0
3701;3;7;0;1
3710;3;7;1;0
7013;7;0;1;3
7031;7;0;3;1
7103;7;1;0;3
7130;7;1;3;0
7301;7;3;0;1
7310;7;3;1;0
0138;0;1;3;8
0183;0;1;8;3
0318;0;3;1;8
0381;0;3;8;1
0813;0;8;1;3
0831;0;8;3;1
1038;1;0;3;8
1083;1;0;8;3
1308;1;3;0;8
1380;1;3;8;0
1803;1;8;0;3
1830;1;8;3;0
3018;3;0;1;8
3081;3;0;8;1
3108;3;1;0;8
3180;3;1;8;0
3801;3;8;0;1
3810;3;8;1;0
8013;8;0;1;3
8031;8;0;3;1
8103;8;1;0;3
8130;8;1;3;0
8301;8;3;0;1
8310;8;3;1;0
0139;0;1;3;9
0193;0;1;9;3
0319;0;3;1;9
0391;0;3;9;1
0913;0;9;1;3
0931;0;9;3;1
1039;1;0;3;9
1093;1;0;9;3
1309;1;3;0;9
1390;1;3;9;0
1903;1;9;0;3
1930;1;9;3;0
3019;3;0;1;9
3091;3;0;9;1
3109;3;1;0;9
3190;3;1;9;0
3901;3;9;0;1
3910;3;9;1;0
9013;9;0;1;3
9031;9;0;3;1
9103;9;1;0;3
9130;9;1;3;0
9301;9;3;0;1
9310;9;3;1;0
0145;0;1;4;5
0154;0;1;5;4
0415;0;4;1;5
0451;0;4;5;1
0514;0;5;1;4
0541;0;5;4;1
1045;1;0;4;5
1054;1;0;5;4
1405;1;4;0;5
1450;1;4;5;0
1504;1;5;0;4
1540;1;5;4;0
4015;4;0;1;5
4051;4;0;5;1
4105;4;1;0;5
4150;4;1;5;0
4501;4;5;0;1
4510;4;5;1;0
5014;5;0;1;4
5041;5;0;4;1
5104;5;1;0;4
5140;5;1;4;0
5401;5;4;0;1
5410;5;4;1;0
0146;0;1;4;6
0164;0;1;6;4
0416;0;4;1;6
0461;0;4;6;1
0614;0;6;1;4
0641;0;6;4;1
1046;1;0;4;6
1064;1;0;6;4
1406;1;4;0;6
1460;1;4;6;0
1604;1;6;0;4
1640;1;6;4;0
4016;4;0;1;6
4061;4;0;6;1
4106;4;1;0;6
4160;4;1;6;0
4601;4;6;0;1
4610;4;6;1;0
6014;6;0;1;4
6041;6;0;4;1
6104;6;1;0;4
6140;6;1;4;0
6401;6;4;0;1
6410;6;4;1;0
0147;0;1;4;7
0174;0;1;7;4
0417;0;4;1;7
0471;0;4;7;1
0714;0;7;1;4
0741;0;7;4;1
1047;1;0;4;7
1074;1;0;7;4
1407;1;4;0;7
1470;1;4;7;0
1704;1;7;0;4
1740;1;7;4;0
4017;4;0;1;7
4071;4;0;7;1
4107;4;1;0;7
4170;4;1;7;0
4701;4;7;0;1
4710;4;7;1;0
7014;7;0;1;4
7041;7;0;4;1
7104;7;1;0;4
7140;7;1;4;0
7401;7;4;0;1
7410;7;4;1;0
0148;0;1;4;8
0184;0;1;8;4
0418;0;4;1;8
0481;0;4;8;1
0814;0;8;1;4
0841;0;8;4;1
1048;1;0;4;8
1084;1;0;8;4
1408;1;4;0;8
1480;1;4;8;0
