combinacion;num1;num2;num3;num4;num5
01234;0;1;2;3;4
01243;0;1;2;4;3
01324;0;1;3;2;4
01342;0;1;3;4;2
01423;0;1;4;2;3
01432;0;1;4;3;2
02134;0;2;1;3;4
02143;0;2;1;4;3
02314;0;2;3;1;4
02341;0;2;3;4;1
02413;0;2;4;1;3
02431;0;2;4;3;1
03124;0;3;1;2;4
03142;0;3;1;4;2
03214;0;3;2;1;4
03241;0;3;2;4;1
03412;0;3;4;1;2
03421;0;3;4;2;1
04123;0;4;1;2;3
04132;0;4;1;3;2
04213;0;4;2;1;3
04231;0;4;2;3;1
04312;0;4;3;1;2
04321;0;4;3;2;1
10234;1;0;2;3;4
10243;1;0;2;4;3
10324;1;0;3;2;4
10342;1;0;3;4;2
10423;1;0;4;2;3
10432;1;0;4;3;2
12034;1;2;0;3;4
12043;1;2;0;4;3
12304;1;2;3;0;4
12340;1;2;3;4;0
12403;1;2;4;0;3
12430;1;2;4;3;0
13024;1;3;0;2;4
13042;1;3;0;4;2
13204;1;3;2;0;4
13240;1;3;2;4;0
13402;1;3;4;0;2
13420;1;3;4;2;0
14023;1;4;0;2;3
14032;1;4;0;3;2
14203;1;4;2;0;3
14230;1;4;2;3;0
14302;1;4;3;0;2
14320;1;4;3;2;0
20134;2;0;1;3;4
20143;2;0;1;4;3
20314;2;0;3;1;4
20341;2;0;3;4;1
20413;2;0;4;1;3
20431;2;0;4;3;1
21034;2;1;0;3;4
21043;2;1;0;4;3
21304;2;1;3;0;4
21340;2;1;3;4;0
21403;2;1;4;0;3
21430;2;1;4;3;0
23014;2;3;0;1;4
23041;2;3;0;4;1
23104;2;3;1;0;4
23140;2;3;1;4;0
23401;2;3;4;0;1
23410;2;3;4;1;0
24013;2;4;0;1;3
24031;2;4;0;3;1
24103;2;4;1;0;3
24130;2;4;1;3;0
24301;2;4;3;0;1
24310;2;4;3;1;0
30124;3;0;1;2;4
30142;3;0;1;4;2
30214;3;0;2;1;4
30241;3;0;2;4;1
30412;3;0;4;1;2
30421;3;0;4;2;1
31024;3;1;0;2;4
31042;3;1;0;4;2
31204;3;1;2;0;4
31240;3;1;2;4;0
31402;3;1;4;0;2
31420;3;1;4;2;0
32014;3;2;0;1;4
32041;3;2;0;4;1
32104;3;2;1;0;4
32140;3;2;1;4;0
32401;3;2;4;0;1
32410;3;2;4;1;0
34012;3;4;0;1;2
34021;3;4;0;2;1
34102;3;4;1;0;2
34120;3;4;1;2;0
34201;3;4;2;0;1
34210;3;4;2;1;0
40123;4;0;1;2;3
40132;4;0;1;3;2
40213;4;0;2;1;3
40231;4;0;2;3;1
40312;4;0;3;1;2
40321;4;0;3;2;1
41023;4;1;0;2;3
41032;4;1;0;3;2
41203;4;1;2;0;3
41230;4;1;2;3;0
41302;4;1;3;0;2
41320;4;1;3;2;0
42013;4;2;0;1;3
42031;4;2;0;3;1
42103;4;2;1;0;3
42130;4;2;1;3;0
42301;4;2;3;0;1
42310;4;2;3;1;0
43012;4;3;0;1;2
43021;4;3;0;2;1
43102;4;3;1;0;2
43120;4;3;1;2;0
43201;4;3;2;0;1
43210;4;3;2;1;0
01235;0;1;2;3;5
01253;0;1;2;5;3
01325;0;1;3;2;5
01352;0;1;3;5;2
01523;0;1;5;2;3
01532;0;1;5;3;2
02135;0;2;1;3;5
02153;0;2;1;5;3
02315;0;2;3;1;5
02351;0;2;3;5;1
02513;0;2;5;1;3
02531;0;2;5;3;1
03125;0;3;1;2;5
03152;0;3;1;5;2
03215;0;3;2;1;5
03251;0;3;2;5;1
03512;0;3;5;1;2
03521;0;3;5;2;1
05123;0;5;1;2;3
05132;0;5;1;3;2
05213;0;5;2;1;3
05231;0;5;2;3;1
05312;0;5;3;1;2
05321;0;5;3;2;1
10235;1;0;2;3;5
10253;1;0;2;5;3
10325;1;0;3;2;5
10352;1;0;3;5;2
10523;1;0;5;2;3
10532;1;0;5;3;2
12035;1;2;0;3;5
12053;1;2;0;5;3
12305;1;2;3;0;5
12350;1;2;3;5;0
12503;1;2;5;0;3
12530;1;2;5;3;0
13025;1;3;0;2;5
13052;1;3;0;5;2
13205;1;3;2;0;5
