combinacion;num1;num2;num3;num4;num5;num6
012345;0;1;2;3;4;5
012354;0;1;2;3;5;4
012435;0;1;2;4;3;5
012453;0;1;2;4;5;3
012534;0;1;2;5;3;4
012543;0;1;2;5;4;3
013245;0;1;3;2;4;5
013254;0;1;3;2;5;4
013425;0;1;3;4;2;5
013452;0;1;3;4;5;2
013524;0;1;3;5;2;4
013542;0;1;3;5;4;2
014235;0;1;4;2;3;5
014253;0;1;4;2;5;3
014325;0;1;4;3;2;5
014352;0;1;4;3;5;2
014523;0;1;4;5;2;3
014532;0;1;4;5;3;2
015234;0;1;5;2;3;4
015243;0;1;5;2;4;3
015324;0;1;5;3;2;4
015342;0;1;5;3;4;2
015423;0;1;5;4;2;3
015432;0;1;5;4;3;2
021345;0;2;1;3;4;5
021354;0;2;1;3;5;4
021435;0;2;1;4;3;5
021453;0;2;1;4;5;3
021534;0;2;1;5;3;4
021543;0;2;1;5;4;3
023145;0;2;3;1;4;5
023154;0;2;3;1;5;4
023415;0;2;3;4;1;5
023451;0;2;3;4;5;1
023514;0;2;3;5;1;4
023541;0;2;3;5;4;1
024135;0;2;4;1;3;5
024153;0;2;4;1;5;3
024315;0;2;4;3;1;5
024351;0;2;4;3;5;1
024513;0;2;4;5;1;3
024531;0;2;4;5;3;1
025134;0;2;5;1;3;4
025143;0;2;5;1;4;3
025314;0;2;5;3;1;4
025341;0;2;5;3;4;1
025413;0;2;5;4;1;3
025431;0;2;5;4;3;1
031245;0;3;1;2;4;5
031254;0;3;1;2;5;4
031425;0;3;1;4;2;5
031452;0;3;1;4;5;2
031524;0;3;1;5;2;4
031542;0;3;1;5;4;2
032145;0;3;2;1;4;5
032154;0;3;2;1;5;4
032415;0;3;2;4;1;5
032451;0;3;2;4;5;1
032514;0;3;2;5;1;4
032541;0;3;2;5;4;1
034125;0;3;4;1;2;5
034152;0;3;4;1;5;2
034215;0;3;4;2;1;5
034251;0;3;4;2;5;1
034512;0;3;4;5;1;2
034521;0;3;4;5;2;1
035124;0;3;5;1;2;4
035142;0;3;5;1;4;2
035214;0;3;5;2;1;4
035241;0;3;5;2;4;1
035412;0;3;5;4;1;2
035421;0;3;5;4;2;1
041235;0;4;1;2;3;5
041253;0;4;1;2;5;3
041325;0;4;1;3;2;5
041352;0;4;1;3;5;2
041523;0;4;1;5;2;3
041532;0;4;1;5;3;2
042135;0;4;2;1;3;5
042153;0;4;2;1;5;3
042315;0;4;2;3;1;5
042351;0;4;2;3;5;1
042513;0;4;2;5;1;3
042531;0;4;2;5;3;1
043125;0;4;3;1;2;5
043152;0;4;3;1;5;2
043215;0;4;3;2;1;5
043251;0;4;3;2;5;1
043512;0;4;3;5;1;2
043521;0;4;3;5;2;1
045123;0;4;5;1;2;3
045132;0;4;5;1;3;2
045213;0;4;5;2;1;3
045231;0;4;5;2;3;1
045312;0;4;5;3;1;2
045321;0;4;5;3;2;1
051234;0;5;1;2;3;4
051243;0;5;1;2;4;3
051324;0;5;1;3;2;4
051342;0;5;1;3;4;2
051423;0;5;1;4;2;3
051432;0;5;1;4;3;2
052134;0;5;2;1;3;4
052143;0;5;2;1;4;3
052314;0;5;2;3;1;4
052341;0;5;2;3;4;1
052413;0;5;2;4;1;3
052431;0;5;2;4;3;1
053124;0;5;3;1;2;4
053142;0;5;3;1;4;2
053214;0;5;3;2;1;4
053241;0;5;3;2;4;1
053412;0;5;3;4;1;2
053421;0;5;3;4;2;1
054123;0;5;4;1;2;3
054132;0;5;4;1;3;2
054213;0;5;4;2;1;3
054231;0;5;4;2;3;1
054312;0;5;4;3;1;2
054321;0;5;4;3;2;1
102345;1;0;2;3;4;5
102354;1;0;2;3;5;4
102435;1;0;2;4;3;5
102453;1;0;2;4;5;3
