combinacion;num1;num2;num3;num4;num_contained
0156;0;1;5;6;2
0165;0;1;6;5;2
0561;0;5;6;1;2
0651;0;6;5;1;2
5061;5;0;6;1;2
5106;5;1;0;6;2
5601;5;6;0;1;2
6051;6;0;5;1;2
6105;6;1;0;5;2
6501;6;5;0;1;2
0527;0;5;2;7;2
0572;0;5;7;2;2
0725;0;7;2;5;2
0752;0;7;5;2;2
2057;2;0;5;7;2
2075;2;0;7;5;2
2507;2;5;0;7;2
2705;2;7;0;5;2
5027;5;0;2;7;2
5072;5;0;7;2;2
5702;5;7;0;2;2
0528;0;5;2;8;2
0582;0;5;8;2;2
2058;2;0;5;8;2
2085;2;0;8;5;2
2508;2;5;0;8;2
5028;5;0;2;8;2
5082;5;0;8;2;2
8025;8;0;2;5;2
8052;8;0;5;2;2
8502;8;5;0;2;2
0627;0;6;2;7;2
0672;0;6;7;2;2
0726;0;7;2;6;2
0762;0;7;6;2;2
2067;2;0;6;7;2
2076;2;0;7;6;2
2607;2;6;0;7;2
2706;2;7;0;6;2
6027;6;0;2;7;2
6072;6;0;7;2;2
6702;6;7;0;2;2
0628;0;6;2;8;2
0682;0;6;8;2;2
2068;2;0;6;8;2
2086;2;0;8;6;2
2608;2;6;0;8;2
6028;6;0;2;8;2
6082;6;0;8;2;2
8026;8;0;2;6;2
8062;8;0;6;2;2
8602;8;6;0;2;2
0357;0;3;5;7;2
0375;0;3;7;5;2
0573;0;5;7;3;2
0753;0;7;5;3;2
3057;3;0;5;7;2
3075;3;0;7;5;2
3507;3;5;0;7;2
3705;3;7;0;5;2
5073;5;0;7;3;2
5307;5;3;0;7;2
5703;5;7;0;3;2
0358;0;3;5;8;2
0385;0;3;8;5;2
0583;0;5;8;3;2
3058;3;0;5;8;2
3085;3;0;8;5;2
3508;3;5;0;8;2
5083;5;0;8;3;2
5308;5;3;0;8;2
8053;8;0;5;3;2
8305;8;3;0;5;2
8503;8;5;0;3;2
0367;0;3;6;7;2
0376;0;3;7;6;2
0673;0;6;7;3;2
0763;0;7;6;3;2
3067;3;0;6;7;2
3076;3;0;7;6;2
3607;3;6;0;7;2
3706;3;7;0;6;2
6073;6;0;7;3;2
6307;6;3;0;7;2
6703;6;7;0;3;2
0368;0;3;6;8;2
0386;0;3;8;6;2
0683;0;6;8;3;2
3068;3;0;6;8;2
3086;3;0;8;6;2
3608;3;6;0;8;2
6083;6;0;8;3;2
6308;6;3;0;8;2
8063;8;0;6;3;2
8306;8;3;0;6;2
8603;8;6;0;3;2
0457;0;4;5;7;2
0475;0;4;7;5;2
0547;0;5;4;7;2
0745;0;7;4;5;2
4057;4;0;5;7;2
4075;4;0;7;5;2
4507;4;5;0;7;2
4705;4;7;0;5;2
5047;5;0;4;7;2
5407;5;4;0;7;2
0458;0;4;5;8;2
0485;0;4;8;5;2
0548;0;5;4;8;2
4058;4;0;5;8;2
4085;4;0;8;5;2
4508;4;5;0;8;2
5048;5;0;4;8;2
5408;5;4;0;8;2
8045;8;0;4;5;2
8405;8;4;0;5;2
0467;0;4;6;7;2
0476;0;4;7;6;2
0647;0;6;4;7;2
0746;0;7;4;6;2
4067;4;0;6;7;2
4076;4;0;7;6;2
4607;4;6;0;7;2
4706;4;7;0;6;2
6047;6;0;4;7;2
6407;6;4;0;7;2
0468;0;4;6;8;2
0486;0;4;8;6;2
0648;0;6;4;8;2
4068;4;0;6;8;2
4086;4;0;8;6;2
4608;4;6;0;8;2
6048;6;0;4;8;2
6408;6;4;0;8;2
8046;8;0;4;6;2
8406;8;4;0;6;2
5179;5;1;7;9;2
5197;5;1;9;7;2
5791;5;7;9;1;2
5971;5;9;7;1;2
9157;9;1;5;7;2
9175;9;1;7;5;2
9571;9;5;7;1;2
9751;9;7;5;1;2
5189;5;1;8;9;2
5198;5;1;9;8;2
5981;5;9;8;1;2
8159;8;1;5;9;2
8195;8;1;9;5;2
8591;8;5;9;1;2
8951;8;9;5;1;2
9158;9;1;5;8;2
9185;9;1;8;5;2
9581;9;5;8;1;2
6179;6;1;7;9;2
6197;6;1;9;7;2
6791;6;7;9;1;2
6971;6;9;7;1;2
9167;9;1;6;7;2
9176;9;1;7;6;2
9671;9;6;7;1;2
9761;9;7;6;1;2
6189;6;1;8;9;2
6198;6;1;9;8;2
6981;6;9;8;1;2
8169;8;1;6;9;2
8196;8;1;9;6;2
8691;8;6;9;1;2
8961;8;9;6;1;2
9168;9;1;6;8;2
9186;9;1;8;6;2
9681;9;6;8;1;2
2789;2;7;8;9;2
2798;2;7;9;8;2
2978;2;9;7;8;2
2987;2;9;8;7;2
8729;8;7;2;9;2
8792;8;7;9;2;2
8927;8;9;2;7;2
8972;8;9;7;2;2
9728;9;7;2;8;2
9782;9;7;8;2;2
3789;3;7;8;9;2
3798;3;7;9;8;2
3978;3;9;7;8;2
3987;3;9;8;7;2
8379;8;3;7;9;2
8397;8;3;9;7;2
8793;8;7;9;3;2
8973;8;9;7;3;2
9378;9;3;7;8;2
9387;9;3;8;7;2
9783;9;7;8;3;2
4789;4;7;8;9;2
4798;4;7;9;8;2
4978;4;9;7;8;2
4987;4;9;8;7;2
8479;8;4;7;9;2
8497;8;4;9;7;2
8749;8;7;4;9;2
8947;8;9;4;7;2
9478;9;4;7;8;2
9487;9;4;8;7;2
9748;9;7;4;8;2
