combinacion;intentos
0123;8
0132;7
0213;9
0231;8
0312;8
0321;6
1023;7
1032;8
1203;7
1230;5
1302;7
1320;8
2013;8
2031;5
2103;7
2130;8
2301;7
2310;7
3012;9
3021;5
3102;6
3120;8
3201;7
3210;6
0124;8
0142;8
0214;8
0241;6
0412;8
0421;7
1024;9
1042;7
1204;8
1240;6
1402;10
1420;8
2014;9
2041;6
2104;8
2140;9
2401;5
2410;7
4012;8
4021;8
4102;8
4120;5
4201;8
4210;9
0125;7
0152;9
0215;9
0251;8
0512;8
0521;8
1025;8
1052;9
1205;7
1250;6
1502;7
1520;8
2015;7
2051;8
2105;7
2150;7
2501;8
2510;7
5012;8
5021;7
5102;8
5120;7
5201;6
5210;7
0126;8
0162;7
0216;7
0261;11
0612;8
0621;10
1026;10
1062;7
1206;8
1260;7
1602;6
1620;8
2016;7
2061;6
2106;7
2160;7
2601;8
2610;9
6012;7
6021;7
6102;5
6120;7
6201;6
6210;8
0127;8
0172;8
0217;7
0271;6
0712;12
0721;8
1027;9
1072;6
1207;8
1270;7
1702;7
1720;8
2017;8
2071;6
2107;8
2170;7
2701;5
2710;7
7012;6
7021;6
7102;8
7120;5
7201;7
7210;8
0128;7
0182;8
0218;9
0281;7
0812;7
0821;9
1028;8
1082;8
1208;8
1280;7
1802;10
1820;7
2018;6
2081;7
2108;8
2180;6
2801;6
2810;10
8012;7
8021;8
8102;6
8120;6
8201;6
8210;6
0129;8
0192;8
0219;8
0291;7
0912;8
0921;7
1029;7
1092;8
1209;7
1290;7
1902;10
1920;6
2019;9
2091;9
2109;8
2190;7
2901;6
2910;6
9012;9
9021;8
9102;7
9120;7
9201;8
9210;7
0134;8
0143;8
0314;8
0341;7
0413;5
0431;6
1034;6
1043;10
1304;7
1340;8
1403;8
1430;7
3014;9
3041;7
3104;6
3140;9
3401;6
3410;7
4013;10
4031;7
4103;6
4130;9
4301;6
4310;6
0135;6
0153;8
0315;7
0351;8
0513;7
0531;9
1035;7
1053;6
1305;8
1350;6
1503;9
1530;8
3015;8
3051;7
3105;8
3150;6
3501;6
