combinacion;intentos
01234;1
01243;9
01324;3
01342;7
01423;7
01432;10
02134;3
02143;5
02314;6
02341;5
02413;6
02431;9
03124;6
03142;7
03214;12
03241;5
03412;6
03421;5
04123;8
04132;9
04213;9
04231;9
04312;7
04321;6
10234;2
10243;8
10324;2
10342;5
10423;8
10432;8
12034;2
12043;2
12304;5
12340;7
12403;9
12430;6
13024;10
13042;11
13204;5
13240;6
13402;7
13420;7
14023;4
14032;6
14203;7
14230;9
14302;7
14320;6
20134;3
20143;7
20314;12
20341;6
20413;8
20431;8
21034;4
21043;8
21304;4
21340;7
21403;8
21430;7
23014;3
23041;8
23104;5
23140;5
23401;3
23410;7
24013;8
24031;10
24103;9
24130;5
24301;5
24310;6
30124;4
30142;6
30214;9
30241;6
30412;8
30421;7
31024;8
31042;5
31204;10
31240;8
31402;7
31420;6
32014;4
32041;6
32104;4
32140;7
32401;8
32410;6
34012;3
34021;10
34102;4
34120;4
34201;4
34210;7
40123;4
40132;7
40213;8
40231;7
40312;5
40321;5
41023;8
41032;10
41203;6
41230;8
41302;8
41320;7
42013;8
42031;9
42103;8
42130;6
42301;6
42310;7
43012;4
43021;11
43102;5
43120;6
43201;9
43210;6
01235;2
01253;9
01325;11
01352;6
01523;7
01532;10
02135;7
02153;6
02315;6
02351;8
02513;9
02531;7
03125;7
03152;7
03215;9
03251;7
03512;4
03521;8
05123;7
05132;7
05213;9
05231;9
05312;6
05321;7
10235;2
10253;6
10325;5
10352;6
10523;5
10532;9
12035;2
12053;5
12305;2
12350;6
12503;7
12530;10
13025;6
13052;6
13205;5
13250;5
13502;6
13520;5
15023;7
15032;12
15203;7
15230;10
15302;9
15320;5
20135;3
20153;5
20315;7
20351;6
20513;6
20531;10
21035;3
21053;9
21305;11
21350;7
21503;6
21530;7
23015;3
23051;3
23105;4
23150;6
23501;5
23510;7
25013;7
25031;9
25103;7
25130;9
25301;6
25310;7
30125;4
30152;5
30215;5
30251;8
30512;4
30521;9
31025;10
31052;5
31205;9
31250;11
31502;5
31520;7
32015;5
32051;8
32105;4
32150;7
32501;6
32510;8
35012;6
35021;6
35102;5
35120;5
35201;5
35210;7
50123;6
50132;9
50213;5
50231;9
50312;9
50321;6
51023;6
51032;8
51203;7
51230;8
51302;6
51320;6
52013;6
52031;13
52103;7
52130;6
52301;8
52310;7
53012;7
53021;5
53102;7
53120;5
53201;8
53210;7
01236;3
01263;11
01326;4
01362;4
01623;7
01632;10
02136;5
02163;5
02316;6
02361;5
02613;7
02631;7
03126;6
03162;5
03216;7
03261;8
03612;7
03621;5
06123;8
06132;7
06213;11
06231;10
06312;8
06321;9
10236;3
10263;7
10326;5
10362;6
10623;5
10632;10
12036;3
12063;6
12306;3
12360;6
12603;7
12630;8
13026;8
13062;6
13206;7
13260;7
13602;9
13620;5
16023;7
16032;7
16203;8
16230;10
16302;9
16320;5
20136;4
20163;6
20316;6
20361;6
20613;5
20631;8
21036;5
21063;8
21306;9
21360;5
21603;7
21630;9
23016;3
23061;5
23106;4
23160;6
23601;5
23610;6
26013;7
26031;10
26103;7
26130;11
26301;7
26310;7
30126;4
30162;4
30216;5
30261;8
30612;5
30621;5
31026;5
31062;5
31206;4
31260;11
31602;5
31620;7
32016;5
32061;8
32106;4
32160;7
32601;6
32610;8
36012;7
36021;7
36102;5
36120;6
36201;7
36210;8
60123;7
60132;9
60213;6
60231;9
60312;9
60321;6
61023;6
61032;9
61203;7
61230;9
61302;8
61320;5
62013;6
62031;9
62103;7
62130;7
62301;8
62310;8
63012;8
63021;6
63102;7
63120;6
63201;8
63210;7
01237;4
01273;11
01327;4
01372;6
01723;7
01732;9
02137;5
02173;6
02317;6
02371;5
02713;7
02731;8
03127;5
03172;6
03217;7
03271;7
03712;6
03721;7
07123;6
07132;6
07213;9
07231;8
07312;8
07321;8
10237;4
10273;7
10327;6
10372;5
10723;6
10732;9
12037;4
12073;6
12307;4
12370;5
12703;6
12730;7
13027;7
13072;6
13207;7
13270;8
13702;9
13720;5
17023;7
17032;10
17203;9
17230;7
17302;7
17320;6
20137;6
20173;6
20317;5
20371;6
20713;5
20731;8
21037;7
21073;6
21307;5
21370;5
21703;7
21730;9
23017;4
23071;5
23107;7
23170;6
23701;5
23710;6
27013;7
27031;10
27103;7
27130;11
27301;7
27310;7
30127;4
30172;5
30217;5
30271;7
30712;5
30721;6
31027;5
31072;6
31207;4
31270;7
31702;4
31720;7
32017;6
32071;8
32107;5
32170;5
32701;6
32710;8
37012;7
37021;7
37102;7
37120;7
37201;6
37210;8
70123;8
70132;6
70213;8
70231;9
70312;9
70321;7
71023;6
71032;8
71203;7
71230;10
71302;8
71320;9
72013;6
72031;6
72103;7
72130;8
72301;8
72310;8
73012;8
73021;6
73102;7
73120;6
73201;6
73210;7
01238;5
01283;7
01328;5
01382;6
01823;7
01832;9
02138;5
02183;9
02318;5
02381;5
02813;8
02831;9
03128;5
03182;6
03218;7
03281;9
03812;7
03821;6
08123;7
08132;7
08213;7
08231;8
08312;8
08321;6
10238;5
10283;7
10328;5
10382;5
10823;6
10832;9
12038;5
12083;6
12308;5
12380;5
12803;6
12830;7
13028;6
13082;6
13208;8
13280;6
13802;9
13820;5
18023;7
18032;8
18203;7
18230;7
18302;7
18320;6
20138;5
20183;6
20318;5
20381;6
20813;5
20831;7
21038;6
21083;7
21308;5
21380;6
21803;5
21830;9
23018;5
23081;5
23108;7
23180;6
23801;5
23810;6
28013;7
28031;8
28103;7
28130;10
28301;7
28310;7
30128;5
30182;5
30218;6
30281;7
30812;5
30821;6
31028;6
31082;6
31208;5
31280;7
31802;5
31820;6
32018;8
32081;8
32108;6
32180;5
32801;6
32810;8
38012;7
38021;7
38102;7
38120;7
38201;6
38210;7
80123;8
80132;6
80213;7
80231;9
80312;9
80321;7
81023;6
81032;8
81203;7
81230;9
81302;8
81320;8
82013;6
82031;8
82103;7
82130;8
82301;8
82310;8
83012;8
83021;6
83102;7
83120;6
83201;6
83210;6
01239;6
01293;7
01329;6
01392;6
01923;7
01932;9
02139;6
02193;9
02319;6
02391;6
02913;8
02931;9
03129;6
03192;6
03219;8
03291;7
03912;6
03921;6
09123;7
09132;7
09213;8
09231;11
09312;8
09321;6
10239;6
10293;7
10329;6
10392;6
10923;6
10932;9
12039;6
12093;6
12309;6
12390;6
12903;6
12930;7
13029;6
13092;6
13209;7
13290;6
13902;9
13920;6
19023;7
19032;8
19203;7
19230;11
19302;7
19320;6
20139;6
20193;6
20319;6
20391;6
20913;6
20931;7
21039;6
21093;7
21309;6
21390;6
21903;8
21930;9
23019;6
23091;6
23109;7
23190;6
23901;6
23910;6
29013;7
29031;8
29103;7
29130;10
29301;7
29310;7
30129;6
30192;6
30219;6
30291;7
30912;6
30921;6
31029;6
31092;7
31209;6
31290;7
31902;8
31920;6
32019;8
32091;8
32109;6
32190;6
32901;6
32910;7
39012;7
39021;7
39102;7
39120;7
39201;6
39210;7
90123;8
90132;9
90213;7
90231;10
90312;9
90321;7
91023;6
91032;7
91203;9
91230;10
91302;8
91320;8
92013;6
92031;8
92103;7
92130;8
92301;8
92310;8
93012;8
93021;6
93102;8
93120;6
93201;6
93210;7
01245;8
01254;6
01425;8
01452;6
01524;6
01542;7
02145;8
02154;7
02415;8
02451;7
02514;11
02541;8
04125;10
04152;7
04215;8
04251;6
04512;6
04521;6
05124;7
05142;9
05214;7
05241;8
05412;11
05421;8
10245;6
10254;9
10425;6
10452;6
10524;9
10542;7
12045;6
12054;8
12405;9
12450;6
12504;7
12540;6
14025;7
14052;9
14205;8
14250;6
14502;7
14520;9
15024;8
15042;8
15204;9
15240;7
15402;6
15420;7
20145;8
20154;9
20415;9
20451;6
20514;5
20541;7
21045;9
21054;6
21405;7
21450;7
21504;8
21540;7
24015;9
24051;4
24105;8
24150;6
24501;7
24510;8
25014;10
25041;5
25104;8
25140;6
25401;9
25410;8
40125;5
40152;6
40215;7
40251;8
40512;11
40521;7
41025;9
41052;10
41205;10
41250;7
41502;7
41520;6
42015;9
42051;7
42105;7
42150;7
42501;7
42510;9
45012;7
45021;5
45102;10
45120;5
45201;8
45210;8
50124;8
50142;6
50214;5
50241;9
50412;9
50421;7
51024;8
51042;7
51204;8
51240;10
51402;5
51420;6
52014;7
52041;7
52104;10
52140;7
52401;7
52410;7
54012;8
54021;7
54102;8
54120;6
54201;7
54210;11
01246;11
01264;4
01426;11
01462;7
01624;6
01642;9
02146;8
02164;7
02416;9
02461;7
02614;7
02641;8
04126;7
04162;8
04216;8
04261;7
04612;7
04621;7
06124;6
06142;7
06214;9
06241;5
06412;6
06421;6
10246;9
10264;7
10426;6
10462;6
10624;9
10642;6
12046;7
12064;6
12406;10
12460;5
12604;7
12640;7
14026;9
14062;6
14206;7
14260;8
14602;9
14620;7
16024;7
16042;8
16204;5
16240;6
16402;9
16420;7
20146;6
20164;9
20416;10
20461;5
20614;8
20641;6
21046;9
21064;6
21406;8
21460;5
21604;11
21640;7
24016;7
24061;7
24106;6
24160;8
24601;7
24610;9
26014;10
26041;6
26104;8
26140;8
26401;9
26410;8
40126;7
40162;5
40216;11
40261;8
40612;5
40621;6
41026;12
41062;8
41206;6
41260;8
41602;9
41620;8
42016;9
42061;11
42106;7
42160;8
42601;10
42610;8
46012;7
46021;6
46102;8
46120;8
46201;8
46210;8
60124;6
60142;7
60214;11
60241;8
60412;8
60421;7
61024;6
61042;7
61204;6
61240;7
61402;8
61420;8
62014;8
62041;7
62104;10
62140;7
62401;8
62410;7
64012;9
64021;8
64102;8
64120;8
64201;8
64210;10
01247;11
01274;6
01427;7
01472;6
01724;9
01742;8
02147;7
02174;9
02417;6
02471;6
02714;5
02741;7
04127;7
04172;6
04217;5
